Latitude	Longitude	Rx(dB)	BestUnit
 41,39971	-008,30663	 039,2	8
 41,39971	-008,30165	 027,2	8
 41,39971	-008,29666	 029,5	0
 41,39971	-008,29166	 025,3	8
 41,39971	-008,28667	 033,8	0
 41,39971	-008,28169	 021,9	0
 41,39971	-008,27669	 062,6	8
 41,39971	-008,27170	 063,0	8
 41,39971	-008,26672	 045,7	0
 41,39971	-008,26172	 044,8	8
 41,39971	-008,25673	 046,0	0
 41,39971	-008,25174	 025,4	0
 41,39971	-008,24675	 047,5	8
 41,39971	-008,24176	 043,9	0
 41,39971	-008,23677	 044,7	0
 41,39971	-008,23178	 031,5	0
 41,39971	-008,22679	 031,4	8
 41,39971	-008,22180	 036,2	0
 41,39971	-008,21681	 026,0	7
 41,39971	-008,21182	 023,5	0
 41,39971	-008,20683	 023,4	0
 41,39971	-008,20184	 028,6	0
 41,39971	-008,19685	 027,4	0
 41,39971	-008,19186	 032,2	0
 41,39971	-008,18687	 028,3	8
 41,39971	-008,18188	 030,4	8
 41,39971	-008,17689	 021,9	0
 41,39971	-008,17190	 021,7	8
 41,39971	-008,16691	 025,3	0
 41,39971	-008,16192	 015,5	0
 41,39971	-008,15693	 027,0	0
 41,39971	-008,15194	 029,5	0
 41,39971	-008,14695	 031,0	0
 41,39971	-008,14196	 031,5	0
 41,39971	-008,13697	 021,3	0
 41,39971	-008,13198	 030,2	0
 41,39971	-008,12699	 028,5	0
 41,39971	-008,12200	 032,0	7
 41,39971	-008,11701	 035,9	0
 41,39971	-008,11202	 037,9	0
 41,39971	-008,10703	 049,9	7
 41,39971	-008,10204	 049,0	7
 41,39971	-008,09705	 030,7	7
 41,39971	-008,09206	 018,5	0
 41,39971	-008,08707	 034,9	3
 41,39971	-008,08208	 039,5	0
 41,39971	-008,07709	 036,1	0
 41,39971	-008,07210	 036,9	0
 41,39971	-008,06711	 054,8	7
 41,39971	-008,06212	 055,5	7
 41,39971	-008,05713	 055,3	7
 41,39971	-008,05214	 055,2	7
 41,39971	-008,04715	 022,7	7
 41,39971	-008,04216	 014,5	0
 41,39971	-008,03717	 025,2	0
 41,39971	-008,03218	 055,9	7
 41,39971	-008,02719	 060,9	7
 41,39971	-008,02220	 043,0	7
 41,39971	-008,01721	 056,9	7
 41,39971	-008,01222	 061,2	7
 41,39971	-008,00723	 058,3	7
 41,39971	-008,00224	 063,3	7
 41,39971	-007,99725	 048,8	7
 41,39971	-007,99226	 036,4	7
 41,39971	-007,98727	 063,9	7
 41,39971	-007,98228	 060,3	7
 41,39971	-007,97729	 042,2	7
 41,39971	-007,97230	 022,0	0
 41,39971	-007,96731	 035,3	7
 41,39971	-007,96232	 029,7	7
 41,39971	-007,95733	 040,5	7
 41,39971	-007,95234	 034,9	7
 41,39971	-007,94735	 033,0	7
 41,39971	-007,94236	 024,5	7
 41,39971	-007,93737	 024,5	7
 41,39971	-007,93238	 022,3	7
 41,39971	-007,92739	 027,8	0
 41,39971	-007,92240	 027,5	7
 41,39971	-007,91741	 031,3	7
 41,39971	-007,91242	 023,1	7
 41,39971	-007,90743	 020,7	7
 41,39971	-007,90244	 042,2	7
 41,39971	-007,89745	 061,5	7
 41,39971	-007,89246	 060,5	7
 41,39971	-007,88747	 035,9	7
 41,39971	-007,88247	 023,9	7
 41,39971	-007,87748	 020,8	7
 41,39971	-007,87250	 022,2	7
 41,39971	-007,86751	 030,3	7
 41,39971	-007,86251	 026,3	7
 41,39971	-007,85753	 029,3	0
 41,39971	-007,85253	 029,0	7
 41,39971	-007,84754	 048,3	7
 41,39971	-007,84255	 053,3	7
 41,39971	-007,83756	 051,5	7
 41,39971	-007,83257	 037,4	7
 41,39971	-007,82758	 034,1	7
 41,39971	-007,82259	 039,4	0
 41,39971	-007,81760	 026,4	0
 41,39971	-007,81261	 028,8	7
 41,39971	-007,80762	 043,6	7
 41,39971	-007,80263	 055,9	7
 41,39971	-007,79764	 064,7	7
 41,39971	-007,79265	 051,8	7
 41,39971	-007,78766	 055,8	7
 41,39971	-007,78267	 057,6	7
 41,39971	-007,77768	 062,2	7
 41,39971	-007,77269	 055,8	7
 41,39971	-007,76770	 060,1	7
 41,39971	-007,76271	 043,2	7
 41,39971	-007,75772	 057,0	7
 41,39971	-007,75273	 057,3	7
 41,39971	-007,74774	 060,1	7
 41,39971	-007,74275	 038,6	7
 41,39971	-007,73776	 018,1	7
 41,39971	-007,73277	 017,8	7
 41,39971	-007,72778	 016,5	7
 41,39971	-007,72279	 018,8	7
 41,39971	-007,71780	 020,6	7
 41,39971	-007,71281	 020,7	7
 41,39971	-007,70782	 027,9	7
 41,39971	-007,70283	 022,6	7
 41,39971	-007,69784	 024,5	7
 41,39971	-007,69285	 027,4	7
 41,39971	-007,68786	 017,0	7
 41,39971	-007,68287	 026,8	7
 41,39971	-007,67788	 032,1	7
 41,39971	-007,67289	 034,5	7
 41,39971	-007,66790	 035,6	7
 41,39971	-007,66291	 036,9	7
 41,39971	-007,65792	 036,0	7
 41,39971	-007,65293	 020,4	7
 41,39971	-007,64794	 027,5	7
 41,39971	-007,64295	 032,2	7
 41,39971	-007,63796	 001,3	7
 41,39971	-007,63297	 016,3	7
 41,39971	-007,62798	 020,3	7
 41,39971	-007,62299	 033,9	7
 41,39971	-007,61800	 003,1	7
 41,39971	-007,61301	 008,8	7
 41,39971	-007,60802	 014,5	7
 41,39971	-007,60303	 018,5	7
 41,39971	-007,59804	 029,6	7
 41,39971	-007,59305	 031,0	7
 41,39971	-007,58806	 015,5	7
 41,39971	-007,58307	 024,3	7
 41,39971	-007,57808	 036,2	7
 41,39971	-007,57309	 037,8	7
 41,39971	-007,56810	 042,7	7
 41,39971	-007,56311	 047,3	7
 41,39971	-007,55812	 003,5	7
 41,39971	-007,55313	 001,3	7
 41,39971	-007,54814	 010,6	7
 41,39971	-007,54315	 022,9	7
 41,39971	-007,53816	 033,3	7
 41,39971	-007,53317	 040,9	7
 41,39971	-007,52818	 043,6	7
 41,39971	-007,52319	 037,9	7
 41,39971	-007,51820	 041,4	7
 41,39971	-007,51321	 016,6	7
 41,39971	-007,50822	 012,3	7
 41,39971	-007,50323	 009,8	7
 41,39971	-007,49824	 015,5	7
 41,39971	-007,49325	 020,6	7
 41,39971	-007,48826	 020,5	7
 41,39971	-007,48327	 019,4	7
 41,39971	-007,47828	 021,2	7
 41,39971	-007,47329	-000,4	7
 41,39971	-007,46830	 001,1	7
 41,39971	-007,46330	 010,2	7
 41,39971	-007,45832	 009,8	7
 41,39971	-007,45333	 023,5	7
 41,39971	-007,44834	 017,7	7
 41,39971	-007,44335	 021,2	7
 41,39971	-007,43835	 022,3	7
 41,39971	-007,43336	 024,8	7
 41,39971	-007,42837	 026,6	7
 41,39971	-007,42338	 012,6	7
 41,39971	-007,41839	 029,3	7
 41,39971	-007,41340	 010,0	7
 41,39971	-007,40841	 029,4	7
 41,39971	-007,40342	 030,5	7
 41,39971	-007,39843	 035,0	7
 41,39971	-007,39344	-011,8	7
 41,39971	-007,38845	 016,1	7
 41,39971	-007,38346	 026,0	7
 41,39971	-007,37847	 035,2	7
 41,39971	-007,37348	 003,9	7
 41,39971	-007,36849	-000,5	7
 41,39971	-007,36350	 017,3	7
 41,39971	-007,35851	 025,7	7
 41,39971	-007,35352	 028,8	7
 41,39971	-007,34853	 034,3	7
 41,39971	-007,34354	 003,3	7
 41,39971	-007,33855	 034,1	7
 41,39971	-007,33356	 035,2	7
 41,39971	-007,32857	 036,0	7
 41,39971	-007,32358	 037,5	7
 41,39971	-007,31859	 023,5	0
 41,39971	-007,31360	 039,3	7
 41,39971	-007,30861	 041,6	7
 41,39971	-007,30362	 008,7	7
 41,39971	-007,29863	 012,7	7
 41,39971	-007,29364	 016,8	7
 41,39971	-007,28865	 004,8	7
 41,39971	-007,28366	 010,4	7
 41,39971	-007,27867	-006,9	7
 41,39971	-007,27368	 011,3	7
 41,39971	-007,26869	 013,3	7
 41,39971	-007,26370	 001,7	7
 41,39971	-007,25871	 013,6	7
 41,39971	-007,25372	 021,3	7
 41,39971	-007,24873	 020,9	7
 41,39971	-007,24374	 027,6	7
 41,39971	-007,23875	 027,7	7
 41,39971	-007,23376	 027,7	7
 41,39971	-007,22877	 031,2	7
 41,39971	-007,22378	-009,4	7
 41,39971	-007,21879	 012,9	7
 41,39971	-007,21380	 006,0	7
 41,39971	-007,20881	 005,7	7
 41,39971	-007,20382	 005,6	7
 41,39971	-007,19883	 022,3	7
 41,39971	-007,19384	 027,7	7
 41,39971	-007,18885	 036,5	7
 41,39971	-007,18386	-008,2	7
 41,39971	-007,17887	-012,6	7
 41,39971	-007,17388	 000,2	7
 41,39970	-007,16889	-017,3	7
 41,39971	-007,16390	-000,2	7
 41,39971	-007,15891	 006,0	7
 41,39971	-007,15392	 012,4	7
 41,39971	-007,14893	 028,3	7
 41,39971	-007,14394	 029,6	7
 41,39971	-007,13895	 021,7	7
 41,39971	-007,13396	 039,0	7
 41,39970	-007,12897	 041,5	7
 41,39971	-007,12398	 006,4	7
 41,39971	-007,11899	 032,1	7
 41,39971	-007,11400	-002,2	7
 41,39971	-007,10901	-004,4	7
 41,39971	-007,10402	 009,5	7
 41,39971	-007,09903	 005,1	7
 41,39971	-007,09404	 014,9	7
 41,39971	-007,08905	 016,9	7
 41,39971	-007,08406	 018,7	7
 41,39971	-007,07907	 017,0	7
 41,39971	-007,07408	 019,6	7
 41,39971	-007,06909	-008,9	7
 41,39971	-007,06410	-000,8	7
 41,39971	-007,05911	 007,1	7
 41,39971	-007,05412	 006,4	7
 41,39971	-007,04913	 004,2	7
 41,39971	-007,04414	 010,9	7
 41,39970	-007,03915	 027,9	7
 41,39971	-007,03416	 039,2	7
 41,39971	-007,02917	 016,8	4
 41,39971	-007,02418	-024,8	7
 41,39596	-008,71583	 031,3	0
 41,39596	-008,71084	 037,0	0
 41,39595	-008,70585	 035,7	2
 41,39595	-008,70085	 035,5	0
 41,39595	-008,69586	 035,3	0
 41,39596	-008,69087	 028,9	0
 41,39596	-008,68588	 029,9	0
 41,39596	-008,68089	 023,0	0
 41,39596	-008,67590	 018,7	0
 41,39595	-008,67091	 017,9	0
 41,39596	-008,66593	 015,3	0
 41,39596	-008,66093	 009,3	0
 41,39596	-008,65594	-005,2	0
 41,39596	-008,65095	 046,4	0
 41,39595	-008,64596	 033,7	0
 41,39596	-008,64097	 014,7	0
 41,39595	-008,63598	 034,2	2
 41,39595	-008,63099	 029,8	0
 41,39596	-008,62600	 021,2	0
 41,39595	-008,62101	 017,4	2
 41,39595	-008,61602	 038,9	0
 41,39595	-008,61103	 038,6	0
 41,39595	-008,60604	 027,0	0
 41,39595	-008,60105	 033,9	0
 41,39595	-008,59606	 021,6	0
 41,39596	-008,59107	 038,4	2
 41,39595	-008,58608	 043,5	0
 41,39595	-008,58109	 049,0	0
 41,39596	-008,57610	 048,2	8
 41,39595	-008,57111	 042,6	8
 41,39596	-008,56612	 022,5	0
 41,39595	-008,56113	 036,7	2
 41,39596	-008,55614	 036,8	2
 41,39596	-008,55115	 039,5	0
 41,39595	-008,54616	 050,3	7
 41,39596	-008,54117	 044,8	7
 41,39596	-008,53618	 037,7	0
 41,39595	-008,53119	 046,1	8
 41,39595	-008,52620	 030,3	0
 41,39595	-008,52121	 024,0	0
 41,39596	-008,51622	 025,5	0
 41,39595	-008,51123	 046,3	0
 41,39596	-008,50624	 036,8	0
 41,39595	-008,50125	 034,2	2
 41,39596	-008,49626	 045,8	0
 41,39596	-008,49127	 044,5	0
 41,39595	-008,48628	 038,2	0
 41,39595	-008,48129	 037,8	0
 41,39595	-008,47630	 040,0	0
 41,39595	-008,47131	 042,0	8
 41,39595	-008,46632	 043,8	8
 41,39595	-008,46133	 037,2	0
 41,39596	-008,45634	 032,5	0
